team,writer,handle
ATL,Tom Hart,tom_hart
ATL,Grant McAuley,grantmcauley
ATL,Kevin McAlpin,KevinMcAlpin
ATL,Cher Suchanick,
ATL,Nick Piecoro,
ATL,Jared Diamond,
CHC,Sahadev Sharma,sahadevsharma
CHC,Adam Brown,
CHC,Harry Pavlidis,harrypav 
CHC,Rodney Knox,
CHW,Cee Angi,CeeAngi
CHW,Phil Rogers,philgrogers
CHW,Dan Hayes,CSNHayes
NYA,Jared Diamond,jareddiamond
OAK,Eirann Dolan,EireannDolan
PHO,Nick Piecoro,nickpiecoro
SF,Andrew Baggarly,extrabaggs
SF,Eno Sarris,enosarris
SF,Alex Pavlovic,AlexPavlovic
LAA,Jock Thompson,JOCKatHQ
LAA,Eirann Dolan,EireannDolan
LAA,Greg Nagel,
LAA,Pedro Moura,pedromoura
HOU,Tyler Stafford,tylercstafford
HOU,Evan Drellich,EvanDrellich
HOU,Jeff Fountain,
CHW,Alex Pavlovic,AlexPavlovic
BAL,Chris Stoner,
BAL,Tucker Blair,
BAL,Andrew Baggarly,extrabaggs
BAL,Jeff Moore,jeffmoore_5
BAL,Cee Angi,CeeAngi
BAL,Tim Britton,TimBritton
BAL,Josh Padlock,
CIN,Mark Sheldon,m_sheldon
CIN,C. Trent Rosecrans,ctrent
CIN,Andrew Baggarly,extrabaggs
MIN,Trei Brundrett,clockwerks
COL,Paul Swydan,Swydan
TOR,Sean Dolinar,seandolinar
PIT,Sean Dolinar,seandolinar
STL,Sean Dolinar,seandolinar
